anon_sname,age_year,birth,start_date,end_date,statdate,avg_resid_log_gc,avg_resid_log_e,avg_resid_log_p,avg_resid_log_th,avg_log_trichuris_resid,avg_richness_resid,avg_log_cycling_resid,avg_preg_resid,any_misc,any_off_survive,sci_f_dir_resid,sci_f_rec_resid,sci_f_resid,sci_m_dir_resid,sci_m_rec_resid,agi_f_dir_resid,agi_f_rec_resid,agi_f_resid,agi_m_rec_resid,agi_m_resid,dsi_f_resid,recip_f_resid,recip_m_resid,not_bonded_m_resid,not_bonded_f_resid,strongly_bonded_f_resid,weakly_bonded_f_resid,total_grooming_partners_f_resid,total_grooming_partners_resid,eigen_resid,avg_mom_rel_rank,rank_rel_any_daughter,cat_abs_active_rank_change,per_groom_resid,per_be_groomed_infant_resid,per_kc_dorsal_resid,per_kc_ventral_resid,per_kc_support_resid,per_kc_away_none_resid,per_ks_suckle_resid,per_no_neighbors_resid,ni_per_groom_resid,ni_per_other_soc_resid,ni_per_rest_resid,ni_per_forage_resid,ni_per_no_neighbors_resid,major_health_event_cat,limp_cat,puncture_cat
314,9,1981-11-08,1990-11-08,1991-11-07,2003-07-18,NA,NA,NA,NA,NA,NA,NA,NA,successful_preg,off_survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
314,10,1981-11-08,1991-11-08,1992-11-07,2003-07-18,NA,NA,NA,NA,NA,NA,NA,NA,successful_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
314,11,1981-11-08,1992-11-08,1993-11-07,2003-07-18,NA,NA,NA,NA,NA,NA,NA,NA,successful_preg,off_died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
314,12,1981-11-08,1993-11-08,1994-11-07,2003-07-18,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,off_died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
314,13,1981-11-08,1994-11-08,1995-11-07,2003-07-18,NA,NA,NA,NA,NA,NA,NA,NA,successful_preg,off_died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
314,14,1981-11-08,1995-11-08,1996-11-07,2003-07-18,NA,NA,NA,NA,NA,NA,NA,NA,successful_preg,off_died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,15,1981-11-08,1996-11-08,1997-11-07,2003-07-18,NA,NA,NA,NA,NA,NA,NA,NA,successful_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
314,16,1981-11-08,1997-11-08,1998-11-07,2003-07-18,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,off_died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
314,17,1981-11-08,1998-11-08,1999-11-07,2003-07-18,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,21,1981-11-08,2002-11-08,2003-11-07,2003-07-18,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,4,1970-08-16,1974-08-16,1975-08-15,1985-09-10,NA,NA,NA,NA,NA,NA,0.8259336019389174,NA,no_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,5,1970-08-16,1975-08-16,1976-08-15,1985-09-10,NA,NA,NA,NA,NA,NA,NA,NA,successful_preg,off_survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,6,1970-08-16,1976-08-16,1977-08-15,1985-09-10,NA,NA,NA,NA,NA,NA,0.20778407330668092,-1.057122910489852,successful_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,7,1970-08-16,1977-08-16,1978-08-15,1985-09-10,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,off_survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,8,1970-08-16,1978-08-16,1979-08-15,1985-09-10,NA,NA,NA,NA,NA,NA,-0.14971697559435704,3.5931028653879196,successful_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,9,1970-08-16,1979-08-16,1980-08-15,1985-09-10,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,off_survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,10,1970-08-16,1980-08-16,1981-08-15,1985-09-10,NA,NA,NA,NA,NA,NA,-0.8137123048824388,NA,successful_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,11,1970-08-16,1981-08-16,1982-08-15,1985-09-10,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,off_survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,12,1970-08-16,1982-08-16,1983-08-15,1985-09-10,NA,NA,NA,NA,NA,NA,-0.3473867973927578,NA,successful_preg,off_died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
315,13,1970-08-16,1983-08-16,1984-08-15,1985-09-10,NA,NA,NA,NA,NA,NA,-0.7259998160149914,-1.2635979272220368,successful_preg,no_off_birth,0.10385912162000574,-1.7929386198651533,-0.9186451823546622,0.6140392752953521,0.3166639536411382,-0.10636162602094479,-1.3012394517621022,-2.0238892618991,0.7080865114757391,1.0800436031864151,-0.5830517048797027,-0.07812622617450127,0.17295410076814122,1.8770087084776437,-0.7895839461704934,-1.3065507103124485,2.798526081681568,-0.10547543959657446,0.3921805681143731,-0.3494585440319346,at_moms_rank,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
315,14,1970-08-16,1984-08-16,1985-08-15,1985-09-10,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,off_died,0.04901446318224986,0.728319804099464,0.3053437382453879,0.29231589856330314,-0.31038900957284615,-0.21522132449759712,-1.1876093787517412,-1.4106403777554926,0.9179237490871346,0.8386827942008916,-0.13703182987948948,-0.18030267475617862,-0.23697647558998175,2.674339651990585,0.8971971038371827,-4.321114741999721,1.7720339173301127,-2.1443676990428386,-2.6537307598515127,0.41370796903780216,at_moms_rank,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
316,4,1973-07-05,1977-07-05,1978-07-04,1982-03-29,NA,NA,NA,NA,NA,NA,1.3348883177690967,NA,no_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,5,1973-07-05,1978-07-05,1979-07-04,1982-03-29,NA,NA,NA,NA,NA,NA,NA,1.878114400772887,successful_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,6,1973-07-05,1979-07-05,1980-07-04,1982-03-29,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,off_died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,7,1973-07-05,1980-07-05,1981-07-04,1982-03-29,NA,NA,NA,NA,NA,NA,0.3119878508366831,-4.318749940182329,successful_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,8,1973-07-05,1981-07-05,1982-07-04,1982-03-29,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,off_died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,4,1975-07-07,1979-07-07,1980-07-06,1987-04-20,NA,NA,NA,NA,NA,NA,1.246854968283774,NA,no_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active_rise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,5,1975-07-07,1980-07-07,1981-07-06,1987-04-20,NA,NA,NA,NA,NA,NA,NA,-4.6274801591358425,successful_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,6,1975-07-07,1981-07-07,1982-07-06,1987-04-20,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,off_survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,7,1975-07-07,1982-07-07,1983-07-06,1987-04-20,NA,NA,NA,NA,NA,NA,0.32235063787222984,-2.7202218970150227,successful_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
317,8,1975-07-07,1983-07-07,1984-07-06,1987-04-20,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,off_survived,-0.05304118275840086,0.3837443920770608,0.08949304127417279,-0.5557047907529241,-0.08199587483218479,-0.16285485250707454,0.5826848503385738,0.29815654070410125,0.4687777958862559,1.4834746301280684,0.36700937348598583,0.19080475959888188,0.040185456920729834,3.103257942452319,-3.887324700437448,-3.683801714363139,5.790259135745064,2.8823881338764945,2.6664966695737142,0.07956988162912154,above_moms_rank,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
317,9,1975-07-07,1984-07-07,1985-07-06,1987-04-20,NA,NA,NA,NA,NA,NA,0.14208881404128526,3.354875493070182,successful_preg,no_off_birth,1.0705498688864203,0.8000966092496433,1.0016167826136504,-0.011706220415245883,0.7275721727180433,0.04398259768468682,0.7617284457517993,0.7509493436812558,0.21296890718471828,0.04174361941123958,0.4247856094182778,0.13198963835312805,0.1287876078211605,1.064915044086404,1.0589111901435189,0.31369836603354173,-2.2142882507491883,-2.124287731975407,-1.3368188382105224,-0.013486668940406787,above_moms_rank,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
317,10,1975-07-07,1985-07-07,1986-07-06,1987-04-20,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,off_died,0.6903714669590842,0.9572217635402304,0.9481764004051707,-0.5826805577564909,0.17207818828287091,-0.15960878820661129,1.0371942695385992,0.5143108862925374,0.12508958326144592,0.05654537856157768,0.9269457562379677,-0.008017591865993379,0.11271109174464433,4.405615150339428,0.5759062236380181,-2.6622624369441805,2.8294393634215336,1.939907314255322,2.7310285554914593,0.022082524972435236,above_moms_rank,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
317,11,1975-07-07,1986-07-07,1987-07-06,1987-04-20,NA,NA,NA,NA,NA,NA,-1.9009850834676754,-1.5535014748931815,successful_preg,off_died,0.023851440372452834,-0.5398737967379695,-0.3622351791315532,-0.5758486643367833,-0.3314959737140929,-0.021648749210462892,0.6040598786251812,0.4403502083899686,-0.5669554867695965,-0.6394496893795674,0.40260918861182726,0.2520381628134172,-0.10454572551217284,2.596997113011853,-1.7025436789952497,1.278292293563032,1.7213076397934017,2.7811627513753248,1.519739621472219,-0.30657714446670475,above_moms_rank,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
318,4,1987-12-05,1991-12-05,1992-12-04,2000-01-27,NA,NA,NA,NA,NA,NA,NA,NA,successful_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
318,5,1987-12-05,1992-12-05,1993-12-04,2000-01-27,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,off_survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
318,6,1987-12-05,1993-12-05,1994-12-04,2000-01-27,NA,NA,NA,NA,NA,NA,NA,NA,successful_preg,off_died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
318,7,1987-12-05,1994-12-05,1995-12-04,2000-01-27,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
318,8,1987-12-05,1995-12-05,1996-12-04,2000-01-27,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,no_off_birth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
318,10,1987-12-05,1997-12-05,1998-12-04,2000-01-27,NA,NA,NA,NA,NA,NA,NA,NA,no_preg,off_died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
319,4,1979-09-14,1983-09-14,1984-09-13,1986-07-16,NA,NA,NA,NA,NA,NA,0.5157504249719782,NA,miscarriage,no_off_birth,0.5861311580464033,-0.11385131989568816,0.3008650975499314,0.520233754330677,-0.006759924079272173,0.3513107027787157,-0.16724510489509584,0.24713730769115566,0.8460930449743628,0.5535954718655739,0.3043684766690544,0.11071266794086043,-0.009702078830184424,-1.3677351958501474,-2.2483632886511202,1.3381733882977311,-0.18195591492579322,0.9774730095077686,1.7806559560334385,0.35719997446352225,above_moms_rank,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
319,5,1979-09-14,1984-09-14,1985-09-13,1986-07-16,NA,NA,NA,NA,NA,NA,-2.001049588591976,3.764115011697271,successful_preg,off_survived,0.5768312051021773,1.1387660086496163,0.9079313278470279,-0.07181523858248447,0.045157053787751124,0.2982500269319901,0.1211110813300301,0.4649681998522894,-0.2198279463826866,-0.1240541379653083,0.7339922852662233,0.10315491335685478,0.32554696331540944,2.1544563672784802,-0.47430477805185944,1.3741655039613807,-2.116485785225973,1.073587514781325,0.8667166657783163,0.640604079859859,above_moms_rank,NA,no_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
